cohort,seed,replicate_index,leg,direction,state,n,mean,sd,min,p01,p05,p50,p95,p99,max,frac_gt_120,frac_gt_150,frac_gt_180,frac_lt_0
w23a_gateA,s23,2,bound,dplus,10,800,13.711021856829001,12.478361770722998,-11.7038121415,-2.9261560969139997,1.0918991059299998,11.93278150395,31.205268115889996,47.942501381762995,125.7359161885,0.00625,0.0,0.0,0.03
w23a_gateA,s23,2,bound,dplus,11,800,5.451558487802751,8.256864648269753,-11.1639485988,-5.717675407810999,-3.0100251702999996,4.669481208200001,15.244166299449997,21.840180785463993,127.2144284437,0.0025,0.0,0.0,0.16625
w23a_gateA,s23,2,bound,dplus,12,800,1.3830056891611247,8.834876682076983,-14.7719082367,-8.60009158773,-6.74181732124,0.7848210818,8.907258305404996,14.820421266312994,129.1897898418,0.0025,0.0,0.0,0.425
w23a_gateA,s23,2,bound,dplus,13,800,-2.4094540032673724,6.268813978433728,-15.5780857881,-12.764225042609,-9.438415877405001,-2.6992010113,5.101990563034999,8.748002061436997,122.4403451271,0.00125,0.0,0.0,0.71375
w23a_gateA,s23,2,bound,dplus,14,800,-5.185950608212379,6.270424319542412,-19.9373730282,-15.20253168691,-12.163968204760002,-5.4627048354,1.5765509231549975,5.264470116805999,125.713560766,0.00125,0.0,0.0,0.9
w23a_gateA,s23,2,bound,dminus,0,800,6.796206693745128,11.063220294476034,-8.4744338552,-3.89839128599,-1.41906154767,5.949468959100001,13.760335130814992,19.250378581316966,125.616918101,0.0075,0.0,0.0,0.09625
w23a_gateA,s23,2,bound,dminus,1,800,11.305758311518632,17.72901527900868,-7.4598264968,-0.464686435646,1.6041159401950003,8.682396854099999,17.288727331795,123.617682755071,126.284883132,0.0225,0.0,0.0,0.01375
w23a_gateA,s23,2,bound,dminus,2,800,14.435337660418496,17.658734909130747,0.2289693625,1.031055341042,4.69231979342,11.7599458129,21.21388305902,124.566779392232,127.6212484262,0.02125,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dminus,3,800,18.815597234186633,18.99645692370358,1.2746194581,5.422914114806,7.834790085705,15.1866672144,29.994122886265,125.102484126041,131.08991295,0.0275,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dminus,4,800,27.514044056768384,19.403508456121976,6.5745249761,9.165638910915,11.687252124925001,23.514406630899998,50.34051315278998,126.710305733424,129.280728576,0.02875,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dminus,5,800,41.792337835553525,23.166776053283,6.6265740768,12.332380889234,17.094756904985,36.6359149065,79.90581446803499,126.086284189631,131.3945910202,0.03875,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dminus,6,800,54.97936115638299,25.18264747927328,8.1747430688,16.390917688692998,22.37950283069,50.72873409115,120.82810307848499,128.521916315598,130.9804120427,0.05375,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dminus,7,800,68.01811409511551,23.34591455314989,11.9787620997,19.630393033718,32.331244211605004,67.31944330335,125.11096900010499,127.816578721767,131.283200405,0.06875,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dminus,8,800,71.06518590149265,25.618936245701757,16.8013563576,23.271428358004,30.54817739454,69.77146943715,125.65296719813499,129.37214206000198,133.2765055426,0.0775,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dminus,9,800,78.34447160031563,28.52792162011204,15.8913140087,24.887261180971002,36.553231525579996,74.9491879407,130.853945921895,135.377036688101,142.4820551694,0.15125,0.0,0.0,0.0
w23a_gateA,s23,2,bound,dminus,10,800,101.44932429474791,33.840434585311,18.1597678657,24.502433937351,44.570823654875,112.63542653705,139.768135172835,148.150059250511,151.2826801236,0.4575,0.00375,0.0,0.0
w23a_gateA,s23,2,bound,dminus,11,800,122.32126800655294,27.686646850674887,21.0644811335,36.12502380719901,54.735557891665,131.5481998772,147.54567602214,155.25767404229498,175.2021609317,0.7675,0.0275,0.0,0.0
w23a_gateA,s23,2,bound,dminus,12,800,139.09905483475987,18.177863045775478,36.0581232075,58.634336628423,119.34567327853,139.02269119605,162.31174907955,176.798163005315,198.3752642382,0.9475,0.23875,0.00625,0.0
w23a_gateA,s23,2,bound,dminus,13,800,157.91235162583433,16.3813351943623,36.6913483658,123.76228400413301,131.60090132988,157.2156206263,185.56433168422,194.40504971021497,197.2762106066,0.99625,0.70375,0.09625,0.0
w23a_gateA,s23,2,bound,dminus,14,800,170.74271611285351,15.127916199420914,54.1924500329,127.41040515038499,145.902230779045,172.15614897355,191.941128461815,196.640262624732,198.9860106557,0.99875,0.91875,0.29625,0.0
w23a_gateA,s42,3,bound,dplus,0,800,158.96624056204422,18.119236337000935,123.3588660934,126.135339046199,129.315434099915,159.81458982395,187.146819525025,195.26772677082798,198.5370867782,1.0,0.67,0.13125,0.0
w23a_gateA,s42,3,bound,dplus,1,800,139.32845359356352,14.660970132968211,24.7095520136,115.834834387082,126.19666222082,136.3361544268,165.81957167658499,180.569920202751,191.6589225736,0.9875,0.2025,0.01125,0.0
w23a_gateA,s42,3,bound,dplus,2,800,121.4083136726831,28.27580482148853,5.3127427402,23.993788184948002,47.616057824420004,129.54664302575,144.75330034981997,157.86517323705198,195.1221299691,0.82625,0.02125,0.00125,0.0
w23a_gateA,s42,3,bound,dplus,3,800,85.38671333054985,38.664583579478176,6.1233549683,10.968652437076999,26.444934385495,81.9919214194,134.032241113175,142.792996512811,150.8538921239,0.34625,0.00125,0.0,0.0
w23a_gateA,s42,3,bound,dplus,4,800,67.92830690348511,33.84709433692864,3.9389265655,10.181172883277998,19.546969762065,64.2072338447,128.18108195644498,131.881559627759,150.1329030449,0.1325,0.00125,0.0,0.0
w23a_gateA,s42,3,bound,dplus,5,800,59.52450455280925,29.337341006262218,1.0237101159,7.19266289736,17.933867766315,57.4875315562,124.665968079845,128.69748546601298,135.2195834348,0.05625,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dplus,6,800,53.87285586318168,24.182323810828343,3.6583749104,9.640723496474,18.73166611272,52.0389476652,92.12327887864997,125.157997539535,133.6794348978,0.0175,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dplus,7,800,53.221447316882006,22.85249664779007,1.5054560528,6.076149001359,17.11102516654,52.483932465950005,91.01134203584499,123.56840719253401,126.7865282584,0.0125,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dplus,8,800,35.266927248557266,20.531100578507512,-2.8139190966,3.439955410446,9.740429033935,31.38689146895,71.36356506926998,123.95088410302199,126.3837001838,0.0125,0.0,0.0,0.0025
w23a_gateA,s42,3,bound,dplus,9,800,23.79832473230525,16.58384452689541,-1.4548073763,0.751339272392,4.680334495975,20.811471155,50.554486305699996,84.334532407655,126.6222832852,0.0075,0.0,0.0,0.0075
w23a_gateA,s42,3,bound,dplus,10,800,14.222767982167634,13.885739829827896,-10.4217237542,-2.679076915079,0.7169821978200005,12.0108551551,31.609967379484996,48.38861352401287,127.4114041813,0.00875,0.0,0.0,0.03875
w23a_gateA,s42,3,bound,dplus,11,800,5.452447531955629,12.568091602686861,-10.5477619353,-6.958413935538,-3.9989697545749996,3.8712393941,15.176000649794991,22.900486320702978,127.0750458411,0.00875,0.0,0.0,0.2175
w23a_gateA,s42,3,bound,dplus,12,800,0.9320935724690017,11.778374006315357,-15.9454637458,-10.615799212775999,-7.518107485405,-0.16408303955,8.53874833816,12.729277455773971,127.3173542369,0.0075,0.0,0.0,0.51375
w23a_gateA,s42,3,bound,dplus,13,800,-2.680151708039375,11.017450847288186,-23.1651174863,-13.945219138355,-10.451179343945,-3.560928724,4.570786310199998,8.716707247814,126.2512995621,0.00625,0.0,0.0,0.79625
w23a_gateA,s42,3,bound,dplus,14,800,-5.892172128586372,11.172998961712524,-20.6823987213,-16.374717114316997,-13.680242534765002,-6.64676352625,0.26456347841499883,3.358742475019997,127.2018709274,0.00625,0.0,0.0,0.94375
w23a_gateA,s42,3,bound,dminus,0,800,5.91658670633337,4.396418983545929,-6.1238217764,-3.7112852720259997,-1.48988800344,5.8349842779,13.19289490095,16.171090762417,18.5952998028,0.0,0.0,0.0,0.0925
w23a_gateA,s42,3,bound,dminus,1,800,9.141073427507498,4.098044533539415,-5.3547554673,-0.20168909831599996,2.8026923623,9.02690121595,16.413730599450002,18.960262028664996,23.4830137876,0.0,0.0,0.0,0.0125
w23a_gateA,s42,3,bound,dminus,2,800,11.46389525433488,4.182890438575696,-0.0443467674,2.8384101824170003,4.7957411231450005,11.2038606895,18.62873493143,21.568111033066,28.9383663958,0.0,0.0,0.0,0.00125
w23a_gateA,s42,3,bound,dminus,3,800,16.068513328655,6.633819907167851,2.5090934214,5.350967319654,7.838011061455,15.4034995668,25.570777907654993,31.676790955877998,125.3443832714,0.00125,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dminus,4,800,24.73412759921088,9.77019943592962,6.5616877539,9.790930665940001,12.783690939415001,23.30189225325,40.90836417378499,54.521159943381996,126.6155353916,0.00125,0.0,0.0,0.0
